luxes, temp, hum, curr, volt, power, dd,hh,mm
4106.24,13,100,0.1,14.7,1.52,28,9,12
4421.12,12,99,0.11,14.7,1.57,28,9,7
3412.48,20,75,0.08,14.69,1.1,27,16,47
3271.68,20,73,0.07,14.69,1.06,27,16,42
4106.24,21,71,0.09,14.7,1.32,27,16,37
4400.64,21,71,0.1,14.71,1.45,27,16,32
5987.84,21,69,0.14,14.72,2.01,27,16,27
4748.8,22,66,0.11,14.71,1.59,27,16,22
5352.96,22,63,0.12,14.72,1.78,27,16,17
6120.96,23,61,0.14,14.73,2.02,27,16,12
8053.76,24,59,0.18,14.76,2.71,27,16,7
8220.16,24,57,0.19,14.76,2.8,27,16,2
10234.88,27,52,0.23,14.78,3.38,27,15,57
19174.4,27,52,0.42,14.89,6.22,27,15,52
19174.4,30,46,0.41,14.88,6.08,27,15,47
22118.4,32,42,0.46,14.92,6.89,27,15,42
22149.12,30,45,0.47,14.92,7.01,27,15,37
6694.4,27,51,0.15,14.73,2.23,27,15,32
21053.44,30,45,0.44,14.9,6.52,27,15,27
22220.8,31,43,0.46,14.91,6.84,27,15,22
15278.08,32,42,0.33,14.84,4.92,27,15,17
16522.24,29,47,0.37,14.86,5.53,27,15,12
19840,32,42,0.42,14.89,6.31,27,15,7
23971.84,29,44,0.52,14.95,7.83,27,15,2
3865.6,25,51,0.09,14.7,1.27,27,14,57
4902.4,30,43,0.11,14.71,1.61,27,14,52
23347.2,35,39,0.52,14.95,7.83,27,14,47
24156.16,33,39,0.54,14.95,8.04,27,14,42
18544.64,29,45,0.45,14.9,6.66,27,14,37
4638.72,28,45,0.1,14.71,1.52,27,14,32
20730.88,32,40,0.49,14.93,7.3,27,14,27
4490.24,34,35,0.09,14.71,1.4,27,14,22
26245.12,36,34,0.56,14.97,8.31,27,14,17
30474.24,35,35,0.59,14.99,8.86,27,14,12
31375.36,34,38,0.58,14.99,8.77,27,14,7
32573.44,32,43,0.59,14.99,8.88,27,14,2
8488.96,28,47,0.18,14.75,2.64,27,13,57
28815.36,32,41,0.52,14.95,7.81,27,13,52
24565.76,31,38,0.48,14.92,7.1,27,13,47
6827.52,37,33,0.14,14.73,2.06,27,13,42
37775.36,35,35,0.62,15.01,9.37,27,13,37
6499.84,38,33,0.13,14.73,1.93,27,13,32
39454.72,40,30,0.61,15.01,9.08,27,13,27
16419.84,37,34,0.31,14.83,4.54,27,13,22
37038.08,38,33,0.6,15,8.96,27,13,17
37550.08,39,32,0.59,14.99,8.88,27,13,12
40376.32,38,33,0.6,15,9,27,13,7
40376.32,40,31,0.61,15.01,9.08,27,13,2
40704,38,33,0.6,15,9.01,27,12,57
42987.52,39,31,0.63,15.01,9.38,27,12,52
42147.84,38,33,0.63,15.02,9.54,27,12,47
40867.84,37,34,0.65,15.02,9.73,27,12,42
10096.64,34,36,0.2,14.76,3.01,27,12,37
38604.8,36,34,0.63,15.01,9.46,27,12,32
28579.84,36,34,0.48,14.93,7.17,27,12,27
26408.96,33,38,0.47,14.92,7.01,27,12,22
32010.24,35,34,0.54,14.97,8.14,27,12,17
25477.12,34,37,0.45,14.91,6.71,27,12,12
28876.8,36,35,0.51,14.95,7.64,27,12,7
25743.36,38,35,0.47,14.92,6.98,27,12,2
30771.2,37,36,0.53,14.96,7.91,27,11,57
23818.24,34,39,0.43,14.89,6.4,27,11,52
32757.76,38,36,0.56,14.97,8.35,27,11,47
30873.6,39,34,0.55,14.96,8.23,27,11,42
30136.32,38,34,0.55,14.97,8.27,27,11,37
31047.68,36,37,0.57,14.97,8.5,27,11,32
28846.08,34,40,0.54,14.96,8.04,27,11,27
29286.4,32,43,0.56,14.97,8.35,27,11,22
29286.4,33,42,0.56,14.97,8.31,27,11,17
27873.28,32,44,0.54,14.96,8.08,27,11,12
27904,32,44,0.54,14.95,8.04,27,11,7
27709.44,36,39,0.53,14.95,7.96,27,11,2
26644.48,34,41,0.51,14.94,7.68,27,10,57
26050.56,36,38,0.49,14.93,7.27,27,10,52
28549.12,35,41,0.52,14.95,7.76,27,10,47
26245.12,33,44,0.5,14.94,7.49,27,10,42
24453.12,32,44,0.49,14.93,7.26,27,10,37
22026.24,30,49,0.46,14.9,6.78,27,10,32
22855.68,29,48,0.47,14.91,6.98,27,10,27
23070.72,30,47,0.47,14.91,6.99,27,10,22
23357.44,27,52,0.47,14.92,7.03,27,10,17
23029.76,27,51,0.46,14.91,6.8,27,10,12
22773.76,29,49,0.46,14.91,6.86,27,10,7
21432.32,27,53,0.45,14.9,6.68,27,10,2
19875.84,26,52,0.44,14.9,6.52,27,9,57
18078.72,27,53,0.41,14.89,6.16,27,9,52
16711.68,24,60,0.39,14.86,5.75,27,9,47
16890.88,25,57,0.4,14.87,5.96,27,9,42
14632.96,24,59,0.38,14.87,5.72,27,9,37
12569.6,24,59,0.36,14.85,5.4,27,9,32
12257.28,25,58,0.34,14.84,5.08,27,9,27
12738.56,24,60,0.33,14.83,4.85,27,9,22
13189.12,23,62,0.32,14.83,4.68,27,9,17
12600.32,22,65,0.31,14.82,4.54,27,9,12
11627.52,22,66,0.29,14.81,4.28,27,9,7
11151.36,20,71,0.29,14.81,4.3,27,9,2
10081.28,20,72,0.28,14.81,4.11,27,8,57
8947.2,19,75,0.25,14.78,3.66,27,8,52
9216,17,80,0.23,14.78,3.47,27,8,47
8304.64,17,80,0.2,14.76,3.02,27,8,42
7605.76,17,82,0.19,14.75,2.75,27,8,37
7275.52,16,87,0.18,14.76,2.71,27,8,32
6167.04,15,92,0.16,14.74,2.39,27,8,27
5585.92,14,97,0.14,14.73,2.09,27,8,22
4915.2,13,99,0.13,14.72,1.86,27,8,17
4538.88,12,100,0.11,14.71,1.64,27,8,12
4387.84,11,99,0.1,14.7,1.47,27,8,7
3151.36,10,100,0.09,14.7,1.36,27,8,2
2538.24,9,99,0.09,14.7,1.25,27,7,57
4395.52,21,73,0.07,14.7,1.09,26,17,17
3655.68,21,71,0.07,14.69,1.05,26,17,12
6888.96,24,60,0.14,14.73,2.14,26,17,2
6295.04,24,59,0.08,14.69,1.13,26,16,57
8373.76,25,58,0.19,14.75,2.76,26,16,52
9610.24,26,56,0.21,14.77,3.14,26,16,47
10362.88,27,50,0.23,14.78,3.4,26,16,42
10844.16,28,48,0.25,14.79,3.62,26,16,37
11356.16,28,48,0.26,14.8,3.85,26,16,32
11632.64,30,44,0.27,14.81,4.06,26,16,27
12006.4,31,37,0.28,14.81,4.2,26,16,22
13112.32,30,38,0.31,14.82,4.54,26,16,17
14417.92,31,36,0.34,14.85,5.03,26,16,12
12272.64,30,37,0.29,14.81,4.35,26,16,7
9868.8,27,40,0.23,14.78,3.4,26,16,2
15569.92,27,44,0.35,14.85,5.25,26,15,57
4720.64,28,38,0.1,14.71,1.52,26,15,52
18058.24,31,35,0.39,14.88,5.82,26,15,47
15943.68,29,37,0.35,14.85,5.24,26,15,42
6497.28,30,36,0.14,14.73,2.09,26,15,37
7943.68,34,32,0.17,14.75,2.51,26,15,32
20776.96,36,30,0.43,14.9,6.39,26,15,27
21288.96,35,30,0.44,14.9,6.58,26,15,22
22568.96,34,30,0.46,14.92,6.78,26,15,17
21606.4,31,34,0.46,14.91,6.78,26,15,12
5916.16,34,31,0.13,14.73,1.84,26,15,7
18672.64,37,28,0.4,14.88,5.93,26,15,2
21575.68,37,28,0.48,14.93,7.17,26,14,57
21268.48,37,28,0.49,14.93,7.32,26,14,52
23736.32,37,28,0.52,14.95,7.83,26,14,47
18339.84,35,29,0.41,14.88,6.08,26,14,42
16906.24,35,30,0.38,14.87,5.67,26,14,37
22620.16,37,28,0.5,14.94,7.41,26,14,32
24074.24,35,31,0.54,14.96,8.03,26,14,27
23756.8,38,28,0.54,14.97,8.04,26,14,22
25210.88,37,28,0.54,14.97,8.14,26,14,17
27883.52,35,32,0.55,14.97,8.23,26,14,12
28549.12,36,29,0.54,14.97,8.1,26,14,7
31088.64,36,29,0.57,14.98,8.5,26,14,2
32092.16,37,29,0.57,14.98,8.54,26,13,57
27484.16,33,34,0.51,14.94,7.58,26,13,52
20126.72,36,31,0.37,14.87,5.56,26,13,47
29593.6,37,31,0.51,14.94,7.6,26,13,42
36526.08,40,27,0.59,14.99,8.85,26,13,37
34682.88,38,30,0.56,14.97,8.35,26,13,32
37273.6,39,27,0.6,15,8.95,26,13,27
31109.12,40,28,0.52,14.95,7.8,26,13,22
36003.84,37,30,0.59,14.99,8.79,26,13,17
24842.24,38,29,0.43,14.9,6.43,26,13,12
40089.6,38,29,0.63,15.02,9.42,26,13,7
35420.16,36,32,0.56,14.97,8.38,26,13,2
41144.32,36,33,0.61,15,9.1,26,12,57
40478.72,36,34,0.6,15,9.04,26,12,52
39915.52,37,31,0.61,15,9.09,26,12,47
30412.8,34,33,0.51,14.94,7.64,26,12,42
27934.72,33,35,0.48,14.93,7.21,26,12,37
26296.32,33,36,0.46,14.92,6.82,26,12,32
37683.2,34,34,0.61,15,9.11,26,12,27
34713.6,32,37,0.57,14.98,8.61,26,12,22
30033.92,35,34,0.51,14.95,7.71,26,12,17
34908.16,32,39,0.59,14.99,8.88,26,12,12
29849.6,32,35,0.54,14.96,8.06,26,12,7
31447.04,34,36,0.55,14.97,8.29,26,12,2
33054.72,34,36,0.59,14.99,8.82,26,11,57
28170.24,32,41,0.51,14.94,7.6,26,11,52
29470.72,31,42,0.54,14.96,8,26,11,47
25763.84,32,39,0.5,14.93,7.41,26,11,42
23900.16,30,42,0.48,14.92,7.22,26,11,37
24135.68,29,42,0.49,14.93,7.28,26,11,32
17105.92,26,46,0.36,14.86,5.4,26,11,27
19773.44,26,47,0.41,14.89,6.18,26,11,22
20546.56,26,47,0.43,14.9,6.36,26,11,17
25968.64,26,48,0.53,14.95,7.97,26,11,12
11852.8,24,51,0.27,14.81,3.96,26,11,7
17300.48,24,49,0.38,14.87,5.61,26,11,2
13998.08,24,52,0.31,14.82,4.54,26,10,57
15088.64,25,51,0.32,14.83,4.79,26,10,52
12180.48,24,56,0.27,14.81,4.02,26,10,47
14105.6,25,53,0.31,14.82,4.54,26,10,42
9638.4,25,53,0.22,14.77,3.17,26,10,37
17643.52,28,47,0.38,14.86,5.57,26,10,32
20398.08,31,44,0.43,14.9,6.35,26,10,27
25149.44,31,42,0.5,14.94,7.49,26,10,22
25098.24,31,43,0.5,14.93,7.5,26,10,17
24555.52,30,46,0.48,14.93,7.17,26,10,12
21934.08,29,50,0.44,14.9,6.58,26,10,7
22405.12,31,44,0.46,14.91,6.84,26,10,2
21125.12,29,46,0.46,14.91,6.84,26,9,57
17756.16,27,48,0.41,14.88,6.08,26,9,52
18554.88,28,48,0.43,14.89,6.35,26,9,47
16778.24,26,50,0.4,14.87,5.91,26,9,42
16312.32,27,48,0.42,14.88,6.31,26,9,37
13608.96,27,50,0.4,14.87,5.99,26,9,32
13399.04,26,51,0.38,14.87,5.68,26,9,27
14883.84,26,53,0.38,14.86,5.67,26,9,22
15431.68,24,57,0.37,14.85,5.41,26,9,17
14786.56,22,61,0.36,14.85,5.29,26,9,12
13127.68,21,65,0.33,14.83,4.85,26,9,7
10357.76,19,68,0.27,14.8,3.94,26,9,2
10557.44,20,69,0.28,14.81,4.11,26,8,57
10690.56,18,75,0.29,14.81,4.26,26,8,52
9134.08,16,79,0.23,14.78,3.47,26,8,47
8901.12,16,80,0.22,14.77,3.29,26,8,42
7280.64,16,84,0.18,14.75,2.65,26,8,37
6988.8,15,87,0.18,14.75,2.64,26,8,32
6264.32,15,86,0.16,14.74,2.42,26,8,27
6394.88,14,90,0.16,14.74,2.42,26,8,22
5893.12,13,94,0.15,14.74,2.23,26,8,17
5432.32,12,100,0.14,14.72,2.01,26,8,12
4736,11,99,0.11,14.71,1.68,26,8,7
4208.64,11,100,0.1,14.7,1.48,26,8,2
3328,9,99,0.08,14.7,1.23,26,7,57
2613.76,9,100,0.07,14.69,1.01,26,7,52
5079.04,24,64,0.08,14.69,1.13,25,17,22
6110.72,24,62,0.11,14.71,1.61,25,17,17
7006.72,23,65,0.14,14.73,1.98,25,17,12
4170.24,23,62,0.09,14.7,1.34,25,17,7
4720.64,23,61,0.1,14.7,1.55,25,17,2
4751.36,23,63,0.11,14.71,1.56,25,16,57
5652.48,23,61,0.13,14.72,1.84,25,16,52
5091.84,23,61,0.12,14.72,1.69,25,16,47
7459.84,24,59,0.17,14.74,2.48,25,16,42
9423.36,25,56,0.21,14.77,3.16,25,16,37
6888.96,25,55,0.16,14.74,2.38,25,16,32
9264.64,27,51,0.22,14.77,3.21,25,16,27
12129.28,28,47,0.29,14.82,4.28,25,16,22
13122.56,28,49,0.31,14.83,4.54,25,16,17
11878.4,25,55,0.28,14.81,4.19,25,16,12
8788.48,27,51,0.21,14.77,3.05,25,16,7
14914.56,28,49,0.34,14.85,5.12,25,16,2
15902.72,28,50,0.36,14.86,5.3,25,15,57
17715.2,28,50,0.38,14.87,5.68,25,15,52
16660.48,27,50,0.36,14.86,5.32,25,15,47
17141.76,29,47,0.37,14.86,5.48,25,15,42
18206.72,30,45,0.4,14.88,5.88,25,15,37
19246.08,31,44,0.41,14.88,6.03,25,15,32
20449.28,32,42,0.43,14.9,6.35,25,15,27
21135.36,32,42,0.44,14.9,6.62,25,15,22
21442.56,30,45,0.44,14.91,6.55,25,15,17
23162.88,31,45,0.47,14.92,7.09,25,15,12
21893.12,31,44,0.46,14.91,6.78,25,15,7
23490.56,31,43,0.5,14.94,7.45,25,15,2
17771.52,31,44,0.41,14.89,6.12,25,14,57
21678.08,33,41,0.51,14.94,7.56,25,14,52
22896.64,31,43,0.52,14.95,7.8,25,14,47
24248.32,32,42,0.53,14.95,7.96,25,14,42
23736.32,35,39,0.52,14.95,7.76,25,14,37
24248.32,36,37,0.53,14.95,7.88,25,14,32
24924.16,36,36,0.55,14.97,8.29,25,14,27
24227.84,35,38,0.55,14.97,8.18,25,14,22
24832,35,36,0.52,14.95,7.76,25,14,17
26306.56,36,35,0.52,14.95,7.76,25,14,12
28866.56,36,34,0.54,14.96,8.12,25,14,7
30720,36,35,0.56,14.97,8.31,25,14,2
32675.84,36,35,0.57,14.98,8.54,25,13,57
32102.4,35,36,0.56,14.97,8.44,25,13,52
33300.48,34,37,0.57,14.98,8.61,25,13,47
32430.08,33,38,0.56,14.97,8.41,25,13,42
33208.32,33,37,0.56,14.98,8.35,25,13,37
34805.76,37,34,0.56,14.98,8.33,25,13,32
34621.44,39,30,0.55,14.97,8.15,25,13,27
33863.68,38,31,0.55,14.96,8.18,25,13,22
36505.6,38,31,0.58,14.98,8.7,25,13,17
36935.68,40,29,0.57,14.99,8.61,25,13,12
36782.08,41,28,0.58,14.99,8.72,25,13,7
38492.16,43,27,0.57,14.98,8.61,25,13,2
38656,42,27,0.57,14.99,8.6,25,12,57
39475.2,39,29,0.58,14.99,8.68,25,12,52
39802.88,41,27,0.59,14.99,8.79,25,12,47
37816.32,41,27,0.58,14.99,8.77,25,12,42
36966.4,41,27,0.58,14.98,8.65,25,12,37
37570.56,40,28,0.59,14.99,8.85,25,12,32
38389.76,38,30,0.59,14.99,8.82,25,12,27
38389.76,39,29,0.59,14.99,8.83,25,12,22
36771.84,40,28,0.58,14.99,8.69,25,12,17
35676.16,39,29,0.59,14.99,8.82,25,12,12
34416.64,40,28,0.58,14.99,8.72,25,12,7
35020.8,41,27,0.59,14.99,8.81,25,12,2
34631.68,41,26,0.58,14.99,8.68,25,11,57
35983.36,40,28,0.58,14.98,8.7,25,11,52
34785.28,41,31,0.57,14.98,8.56,25,11,47
33546.24,40,32,0.57,14.98,8.47,25,11,42
31754.24,38,34,0.57,14.98,8.54,25,11,37
30320.64,37,35,0.55,14.96,8.18,25,11,32
31016.96,37,37,0.55,14.97,8.26,25,11,27
30648.32,39,34,0.56,14.97,8.38,25,11,22
29347.84,35,38,0.55,14.96,8.27,25,11,17
28590.08,36,37,0.55,14.96,8.18,25,11,12
28108.8,36,39,0.55,14.97,8.18,25,11,7
25251.84,33,42,0.49,14.93,7.33,25,11,2
27893.76,34,41,0.53,14.95,7.92,25,10,57
27750.4,36,39,0.52,14.94,7.73,25,10,52
26183.68,34,42,0.49,14.92,7.27,25,10,47
26470.4,34,41,0.5,14.93,7.39,25,10,42
26726.4,35,39,0.51,14.94,7.68,25,10,37
24657.92,33,43,0.5,14.93,7.41,25,10,32
22149.12,32,45,0.46,14.9,6.8,25,10,27
23582.72,32,45,0.48,14.92,7.16,25,10,22
23705.6,30,47,0.48,14.92,7.16,25,10,17
24012.8,30,47,0.48,14.92,7.1,25,10,12
21381.12,29,49,0.44,14.89,6.52,25,10,7
21606.4,30,48,0.45,14.91,6.67,25,10,2
21094.4,29,50,0.46,14.91,6.86,25,9,57
19763.2,28,51,0.44,14.9,6.63,25,9,52
18457.6,28,52,0.42,14.89,6.31,25,9,47
17981.44,28,54,0.42,14.89,6.3,25,9,42
16307.2,25,57,0.41,14.88,6.11,25,9,37
13885.44,25,57,0.4,14.87,5.95,25,9,32
13168.64,24,57,0.38,14.86,5.64,25,9,27
13992.96,24,58,0.36,14.86,5.39,25,9,22
14914.56,23,58,0.35,14.85,5.24,25,9,17
13890.56,22,62,0.34,14.84,5.03,25,9,12
12323.84,22,63,0.31,14.83,4.6,25,9,7
12139.52,21,65,0.31,14.83,4.62,25,9,2
10263.04,21,65,0.27,14.81,4.03,25,8,57
9753.6,20,68,0.26,14.79,3.9,25,8,52
9576.96,19,71,0.24,14.78,3.61,25,8,47
9487.36,18,75,0.23,14.78,3.42,25,8,42
8757.76,17,78,0.21,14.77,3.08,25,8,37
7196.16,16,80,0.18,14.74,2.64,25,8,32
6579.2,16,83,0.17,14.74,2.51,25,8,27
6295.04,15,88,0.15,14.73,2.27,25,8,22
5314.56,13,94,0.14,14.73,1.98,25,8,17
4807.68,12,99,0.12,14.71,1.73,25,8,12
2752,12,100,0.07,14.68,0.97,25,8,7
4469.76,11,99,0.1,14.7,1.42,25,8,2
3758.08,9,100,0.09,14.69,1.25,25,7,57
4280.32,22,77,0.08,14.7,1.13,24,17,17
4643.84,22,77,0.09,14.7,1.32,24,17,12
5716.48,24,71,0.13,14.72,1.89,24,17,2
6405.12,24,69,0.12,14.72,1.69,24,16,57
7685.12,24,69,0.17,14.75,2.47,24,16,52
7877.12,26,65,0.18,14.74,2.64,24,16,47
9292.8,26,63,0.21,14.77,3.12,24,16,42
10741.76,26,64,0.25,14.78,3.64,24,16,37
10792.96,27,62,0.25,14.8,3.75,24,16,32
10444.8,24,69,0.25,14.79,3.7,24,16,27
4736,23,70,0.11,14.7,1.56,24,16,22
7050.24,24,69,0.16,14.73,2.34,24,16,17
4326.4,24,65,0.1,14.7,1.42,24,16,12
4326.4,26,61,0.1,14.7,1.42,24,16,7
15083.52,29,55,0.35,14.85,5.21,24,16,2
15779.84,27,59,0.36,14.85,5.35,24,15,57
5137.92,24,64,0.12,14.71,1.69,24,15,52
6863.36,27,58,0.15,14.73,2.23,24,15,47
13265.92,31,50,0.29,14.82,4.26,24,15,42
18053.12,30,50,0.39,14.87,5.84,24,15,37
12062.72,32,46,0.27,14.8,4.02,24,15,32
19788.8,33,45,0.42,14.89,6.22,24,15,27
20920.32,33,45,0.44,14.9,6.59,24,15,22
22906.88,33,43,0.47,14.92,6.94,24,15,17
6435.84,32,44,0.14,14.73,2.06,24,15,12
23664.64,37,38,0.48,14.93,7.18,24,15,7
23480.32,37,37,0.49,14.94,7.33,24,15,2
23787.52,37,35,0.51,14.94,7.58,24,14,57
24545.28,38,35,0.53,14.96,7.95,24,14,52
24616.96,38,34,0.53,14.96,7.92,24,14,47
24463.36,37,35,0.53,14.96,7.9,24,14,42
26429.44,40,29,0.54,14.96,8.12,24,14,37
21770.24,37,31,0.48,14.92,7.21,24,14,32
24115.2,38,30,0.53,14.95,7.95,24,14,27
25169.92,41,28,0.54,14.96,8.08,24,14,22
26961.92,39,30,0.56,14.97,8.31,24,14,17
28958.72,40,28,0.56,14.97,8.31,24,14,12
30617.6,42,27,0.56,14.98,8.33,24,14,7
31139.84,40,28,0.56,14.97,8.31,24,14,2
31948.8,39,29,0.56,14.98,8.31,24,13,57
31815.68,40,28,0.56,14.98,8.45,24,13,52
20213.76,39,29,0.38,14.87,5.68,24,13,47
34273.28,40,28,0.57,14.98,8.5,24,13,42
34170.88,42,27,0.56,14.98,8.38,24,13,37
36956.16,41,27,0.57,14.98,8.59,24,13,32
36771.84,40,28,0.57,14.98,8.55,24,13,27
36567.04,41,28,0.57,14.98,8.56,24,13,22
36669.44,40,28,0.58,14.98,8.67,24,13,17
37130.24,41,27,0.57,14.99,8.6,24,13,12
37468.16,42,27,0.58,14.98,8.65,24,13,7
39464.96,41,28,0.59,14.99,8.81,24,13,2
40232.96,41,28,0.58,14.99,8.72,24,12,57
40181.76,41,28,0.59,14.99,8.79,24,12,52
40181.76,40,29,0.6,15,8.92,24,12,47
37027.84,40,29,0.58,14.99,8.72,24,12,42
38021.12,41,28,0.59,14.99,8.85,24,12,37
37959.68,39,29,0.6,14.99,8.93,24,12,32
37048.32,40,28,0.58,14.99,8.77,24,12,27
37048.32,42,28,0.57,14.98,8.61,24,12,22
36761.6,39,30,0.58,14.98,8.63,24,12,17
36730.88,41,28,0.58,14.99,8.77,24,12,12
34529.28,40,30,0.59,14.99,8.82,24,12,7
35051.52,41,29,0.58,14.99,8.77,24,12,2
34170.88,42,29,0.58,14.99,8.73,24,11,57
34406.4,42,29,0.57,14.98,8.49,24,11,52
35389.44,40,34,0.58,14.99,8.68,24,11,47
34355.2,38,35,0.58,14.98,8.69,24,11,42
32235.52,38,35,0.57,14.98,8.58,24,11,37
31907.84,38,35,0.57,14.98,8.54,24,11,32
31897.6,37,36,0.56,14.97,8.42,24,11,27
31303.68,37,34,0.57,14.98,8.61,24,11,22
28559.36,37,34,0.56,14.97,8.33,24,11,17
27432.96,38,34,0.55,14.96,8.17,24,11,12
26664.96,38,36,0.54,14.96,8,24,11,7
27586.56,36,37,0.54,14.95,8.05,24,11,2
25487.36,37,40,0.5,14.94,7.4,24,10,57
26613.76,37,41,0.5,14.93,7.53,24,10,52
28272.64,37,41,0.52,14.94,7.76,24,10,47
27197.44,36,41,0.51,14.94,7.62,24,10,42
27535.36,36,42,0.52,14.94,7.77,24,10,37
24688.64,36,42,0.5,14.93,7.39,24,10,32
24227.84,35,43,0.5,14.93,7.41,24,10,27
23244.8,33,46,0.48,14.92,7.12,24,10,22
22968.32,33,46,0.47,14.92,6.94,24,10,17
22487.04,34,45,0.46,14.9,6.78,24,10,12
21370.88,32,49,0.44,14.9,6.63,24,10,7
20582.4,31,51,0.43,14.89,6.44,24,10,2
19614.72,29,54,0.43,14.9,6.43,24,9,57
18135.04,29,54,0.41,14.89,6.08,24,9,52
17873.92,28,56,0.4,14.87,6,24,9,47
17827.84,27,58,0.41,14.88,6.11,24,9,42
16281.6,26,61,0.4,14.88,5.96,24,9,37
13132.8,26,60,0.36,14.85,5.39,24,9,32
13332.48,26,61,0.37,14.85,5.49,24,9,27
13854.72,26,61,0.35,14.84,5.21,24,9,22
14735.36,25,62,0.35,14.84,5.16,24,9,17
13383.68,25,64,0.33,14.84,4.84,24,9,12
12226.56,23,68,0.31,14.82,4.53,24,9,7
11596.8,22,71,0.3,14.82,4.43,24,9,2
10972.16,21,73,0.29,14.81,4.28,24,8,57
10280.96,20,75,0.27,14.81,4.03,24,8,52
9868.8,20,75,0.25,14.79,3.71,24,8,47
9740.8,20,78,0.24,14.78,3.51,24,8,42
8023.04,18,83,0.19,14.76,2.85,24,8,37
7667.2,17,89,0.19,14.75,2.8,24,8,32
5606.4,15,98,0.15,14.74,2.18,24,8,27
4029.44,15,98,0.1,14.71,1.51,24,8,22
4554.24,15,98,0.12,14.71,1.73,24,8,17
4096,14,99,0.1,14.71,1.55,24,8,12
4779.52,14,100,0.11,14.71,1.61,24,8,7
